id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;is_city;country;is_main_station;time_zone;is_suggestable;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh
31;Vire Centre;vire-centre;8744816;87448167;48.837638;-0.880538;30;f;FR;f;Europe/Paris;f;FRDUY;;t;;f;8704890;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
32;Vire;vire;8744815;87448159;48.846329;-0.882884;30;f;FR;t;Europe/Paris;f;FRDUX;VIR;t;;f;8700424;f;;f;;f;;f;;;;f;;f;;f;;f;FRDUX;f;f;;;;;;;;;;;;;;;;;;
33;Marans;marans;;;46.3000000000;-1.0000000000;;t;FR;f;Europe/Paris;f;FRAAV;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
34;Marans Centre;marans-centre;8738988;87389882;46.290815;-0.979212;33;f;FR;f;Europe/Paris;t;FRDHK;;t;;f;8706478;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
35;Marans;marans;8748506;87485060;46.30433;-1.00127;33;f;FR;t;Europe/Paris;t;FREII;;t;;f;8702440;f;;f;;f;;f;;;;f;;f;8700668;f;;f;FREII;f;f;;;;;;;;;;;;;;;;;;
36;Uzerche;uzerche;8759420;87594200;45.4407088;1.5702735;5607;f;FR;t;Europe/Paris;t;FRAAW;URE;t;;f;8702147;f;;f;;f;;f;;;;f;;f;8700512;f;;f;FRAAW;f;f;;;;;;;;;;;;;;;;;;
38;Dijon Ville;dijon-ville;8771304;87713040;47.323370;5.027208;1782;f;FR;t;Europe/Paris;t;FRABA;DJV;t;;f;8700021;f;;f;;f;8771304;t;;;;f;;f;8700025;f;;f;FRABA;f;t;;;;;;Digione;;;;;ディジョン;디종;;;Дижон;;;第戎
40;Pontrieux;pontrieux;;;48.7000000000;-3.1666670000;;t;FR;f;Europe/Paris;f;FRABD;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
41;Pontrieux Halte;pontrieux-halte;8747383;87473835;48.6980361;-3.1644959;40;f;FR;f;Europe/Paris;t;FREAB;;t;;f;8704288;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
42;Pontrieux;pontrieux;8747384;87473843;48.7056437;-3.1574281;40;f;FR;t;Europe/Paris;t;FREAC;;t;;f;8704287;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
43;Auboué;auboue;8719168;87191684;49.216163;5.9714608;;f;FR;f;Europe/Paris;t;FRABE;;t;;f;8700567;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
44;Périgueux;perigueux;8759500;87595009;45.187408;0.707879;4957;f;FR;t;Europe/Paris;t;FRABF;PXR;t;;f;8700405;f;;f;;f;;f;;;;f;;f;8700057;f;;f;FRABF;f;t;;;;;;;;;;;ペリグー;;;;Перигё;;;佩里格
45;Besançon Viotte;besancon-viotte;8771800;87718007;47.247019;6.022003;5029;f;FR;t;Europe/Paris;t;FRABG;BNV;t;;f;8700044;f;;f;;f;;f;;;;f;;f;8700053;f;;f;FRABG;f;t;;;;Besanzón;;;;;;;ブザンソン;브장송;;;Безансон;;;贝桑松
47;Douarnenez Office de Tourisme;douarnenez-office-de-tourisme;8747990;87479907;48.09336269013469;-4.3303728103637695;;f;FR;f;Europe/Paris;t;FREEV;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;ドゥアルヌネ;;;;Дуарнене;;;杜阿尔纳纳
50;Concarneau;concarneau;;;47.8666670000;-3.9166670000;;t;FR;f;Europe/Paris;f;FRABJ;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
51;Concarneau Port;concarneau-port;8747989;87479899;47.867055;-3.927593;50;f;FR;f;Europe/Paris;t;FREEU;;t;;f;8703141;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
52;Concarneau;concarneau;8747438;87474387;47.87767079094932;-3.9205312728881836;50;f;FR;t;Europe/Paris;t;FREBC;;t;;f;8703140;f;;f;;f;;f;;;;f;;f;;f;;f;FREBC;f;f;;;;;;;;;;;コンカルノー;;;;Конкарно;;;孔卡尔诺
55;Aboncourt;aboncourt;8719140;87191403;49.2666670000;6.3500000000;;f;FR;f;Europe/Paris;t;FRABM;;t;;f;8700566;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
56;Aiton—Bourgneuf;aiton-bourgneuf;8774124;87741249;45.5666670000;6.2500000000;;f;FR;f;Europe/Paris;t;FRABN;;t;;f;8702387;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
57;Colomiers;colomiers;;;43.6166670000;1.3500000000;;t;FR;f;Europe/Paris;f;FRABP;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
58;Colomiers;colomiers;8761146;87611467;43.603734;1.334221;57;f;FR;t;Europe/Paris;t;FRFQB;COL;t;;f;8703134;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;コロミエ;;;;;;;科洛米耶尔
59;Colomiers Lycée International;colomiers-lycee-international;8761192;87611921;43.6163055;1.3141157;57;f;FR;f;Europe/Paris;t;FRFRP;LYF;t;;f;8703135;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;コロミエ;;;;;;;科洛米耶尔
60;Labège;labege;;;43.5333330000;1.5333330000;;t;FR;f;Europe/Paris;t;FRABQ;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
